// Fonds                               | Fonds per Building                     |  Units           | Direct / Indirects             | Infantry      | TRANSPORTER    | Result
type NUMBER:4000_>|4000_<_10000|10000_<  NUMBER:4000_>|4000_<_10000|10000_<        NUMBER:10_<|10_>  NUMBER:0.8_>|0.8_<_3.5|3.5_<   NUMBER:5_<|5_>    NUMBER:1_<|1_>   UNIT
// INFANTRY BUILDING                                                               
3000                                     3000                                      7                 1.0                            4                 0                INFANTRY
3000                                     3000                                      7                 0.7                            4                 0                INFANTRY
3000                                     3000                                      7                 4.5                            4                 0                INFANTRY
11000                                    3000                                      11                1.0                            4                 0                INFANTRY
11000                                    3000                                      7                 1.0                            4                 0                INFANTRY
11000                                    3000                                      11                1.0                            7                 0                INFANTRY
11000                                    3000                                      7                 1.0                            7                 0                INFANTRY
3000                                     3000                                      7                 1.0                            4                 2                INFANTRY
3000                                     3000                                      7                 0.7                            4                 2                INFANTRY
3000                                     3000                                      7                 4.5                            4                 2                INFANTRY
11000                                    3000                                      11                1.0                            4                 2                INFANTRY
11000                                    3000                                      7                 1.0                            4                 2                INFANTRY
11000                                    3000                                      11                1.0                            7                 2                INFANTRY
11000                                    3000                                      7                 1.0                            7                 2                INFANTRY
7000                                     7000                                      7                 1.0                            4                 0                INFANTRY
7000                                     7000                                      7                 0.7                            4                 0                INFANTRY
7000                                     7000                                      7                 4.5                            4                 0                INFANTRY
7000                                     7000                                      11                1.0                            4                 0                INFANTRY
7000                                     7000                                      7                 1.0                            4                 0                INFANTRY
7000                                     7000                                      11                1.0                            4                 0                INFANTRY
7000                                     7000                                      7                 1.0                            4                 0                INFANTRY
7000                                     7000                                      7                 1.0                            4                 2                INFANTRY
7000                                     7000                                      7                 0.7                            4                 2                INFANTRY
7000                                     7000                                      7                 4.5                            4                 2                INFANTRY
7000                                     7000                                      11                1.0                            4                 2                INFANTRY
7000                                     7000                                      7                 1.0                            4                 2                INFANTRY
7000                                     7000                                      11                1.0                            4                 2                INFANTRY
7000                                     7000                                      7                 1.0                            4                 2                INFANTRY
11000                                    11000                                     7                 1.0                            4                 0                INFANTRY
11000                                    11000                                     7                 0.7                            4                 0                INFANTRY
11000                                    11000                                     7                 4.5                            4                 0                INFANTRY
